,City,Province,Population,Area,Density,Income,URL,Latitude,Longitude
125,Haarlemmermeer,Noord-Holland,147532,179.76,801.6,14400,https://nl.wikipedia.org/wiki/Haarlemmermeer,52.300833333333,4.6652777777778
126,Halderberge,Noord-Brabant,29894,74.64,395.6,13500,https://nl.wikipedia.org/wiki/Halderberge,51.587222222222,4.5166666666667
127,Hardenberg,Overijssel,60544,312.87,190.3,11800,https://nl.wikipedia.org/wiki/Hardenberg_(gemeente),52.566666666667,6.6
128,Harderwijk (Gelderland),Gelderland,46907,38.46,1190.5,12700,https://nl.wikipedia.org/wiki/Harderwijk_(Gelderland),52.35,5.6166666666667
129,Hardinxveld-Giessendam,Zuid-Holland,17912,16.91,1051.7,12400,https://nl.wikipedia.org/wiki/Hardinxveld-Giessendam,51.828138888889,4.852525
130,Haren (Groningen),Groningen,19895,45.69,418.8,16300,https://nl.wikipedia.org/wiki/Haren_(Groningen),53.166666666667,6.6
131,Harlingen,Friesland,15766,25.18,627.1,12000,https://nl.wikipedia.org/wiki/Harlingen_(gemeente),53.173530555556,5.4337694444444
132,Hattem,Gelderland,12112,23.12,510.1,13700,https://nl.wikipedia.org/wiki/Hattem,52.483333333333,6.0666666666667
133,Heemskerk,Noord-Holland,39145,27.48,1427.3,13700,https://nl.wikipedia.org/wiki/Heemskerk_(hoofdbetekenis),52.510833333333,4.6727777777778
134,Heemstede (Noord-Holland),Noord-Holland,27134,9.2,2879.5,17800,https://nl.wikipedia.org/wiki/Heemstede_(Noord-Holland),52.352777777778,4.62
135,Heerde,Gelderland,18618,78.73,234.9,13100,https://nl.wikipedia.org/wiki/Heerde_(gemeente),52.4,6.05
136,Heerenveen,Friesland,50201,135.18,371.1,12900,https://nl.wikipedia.org/wiki/Heerenveen_(gemeente),52.965833333333,6.0502777777778
137,Heerhugowaard,Noord-Holland,56134,39.25,1368.0,13100,https://nl.wikipedia.org/wiki/Heerhugowaard,52.668333333333,4.8405555555556
138,Heerlen,Limburg,86766,45.04,1941.1,12300,https://nl.wikipedia.org/wiki/Heerlen,50.886388888889,5.9775
139,Heeze-Leende,Noord-Brabant,15911,103.93,149.5,14600,https://nl.wikipedia.org/wiki/Heeze-Leende,51.367222222222,5.5575
140,Heiloo,Noord-Holland,23211,18.79,1201.6,15500,https://nl.wikipedia.org/wiki/Heiloo,52.601111111111,4.7019444444444
141,Den Helder,Noord-Holland,55559,45.43,1244.3,12600,https://nl.wikipedia.org/wiki/Den_Helder,52.958333333333,4.7588888888889
142,Hellendoorn,Overijssel,35792,138.15,257.6,12300,https://nl.wikipedia.org/wiki/Hellendoorn_(gemeente),52.388486111111,6.4496611111111
143,Hellevoetsluis,Zuid-Holland,39931,31.57,1228.7,13500,https://nl.wikipedia.org/wiki/Hellevoetsluis,51.8325,4.1383333333333
144,Helmond,Noord-Brabant,91024,53.2,1687.9,12300,https://nl.wikipedia.org/wiki/Helmond,51.477777777778,5.6527777777778
145,Hendrik-Ido-Ambacht,Zuid-Holland,30801,10.73,2721.2,13400,https://nl.wikipedia.org/wiki/Hendrik-Ido-Ambacht,51.845277777778,4.64
146,Hengelo (Overijssel),Overijssel,80626,61.06,1327.7,12600,https://nl.wikipedia.org/wiki/Hengelo_(Overijssel),52.265555555556,6.7930555555556
