,City,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Category
140,Achtkarspelen,Sportpark De Bosk,4bc4a4652a89ef3bc995f688,53.184189203601235,6.1241821215205405,Athletics & Sports
141,Achtkarspelen,Lauwersland: Café Restaurant,4d7e1a41cd09224b08c44330,53.27790334312788,6.128583285040418,Restaurant
142,Achtkarspelen,Rinse's Resto,4df24ef71f6e818dadfc36fb,53.254626989364624,6.037711501121521,Fish & Chips Shop
143,Achtkarspelen,Groenrijk,4ea5138a77c8d0ce5f0a4e94,53.253112672889344,6.012394756057038,Flower Shop
144,Achtkarspelen,De Herberg van Smallingerland,4d526e65e02754810a69b4b6,53.14545833750817,6.1023081958143015,Restaurant
145,Achtkarspelen,Sporthal de Houtmoune,50d208ede4b032983fef984b,53.248555712235344,6.148192194570257,Athletics & Sports
146,Achtkarspelen,De Kûpe,4d845f567e8ef04d00260abe,53.24897441463092,6.1485340632243455,Pool
147,Achtkarspelen,MJT Doezum,53862e83498e5b2ac3cf3787,53.2059748733423,6.261192959167872,Volleyball Court
148,Achtkarspelen,Sanjes fertier,4c1386e07f7f2d7fce27df68,53.25107735048481,6.009138420628434,Playground
149,Achtkarspelen,Sportcentrum Fysique Burgum,4d7a79c0e540f04d1eba13dc,53.18905510798624,5.9953718307445225,Gym
150,Alblasserdam,Buena Vista,4bfa5b995ec320a1b57a8bd3,51.889046399835834,4.635508789183838,Café
151,Alblasserdam,Kat in de Wilg,4bbefe6a98f4952103f3d163,51.8588993,4.6999352,Restaurant
152,Alblasserdam,Happy Italy,5219b36611d2483905386412,51.84429552081501,4.621814541464166,Italian Restaurant
153,Alblasserdam,Theater De Willem,4caf5ec8ef1b37042ef03100,51.83284458941653,4.683943395746546,Theater
154,Alblasserdam,Jumbo,4b94a5fbf964a520987f34e3,51.836719786549516,4.68497593692236,Supermarket
155,Alblasserdam,Recreatiegebied Sandelingen-Ambacht,4ddcf24e1f6e54b34d950186,51.844138140649214,4.621569033759962,Park
156,Alblasserdam,Café de Klok,4b832926f964a5200dfb30e3,51.88666380775891,4.632782836946283,Pub
157,Alblasserdam,Winkelcentrum De Schoof,4b8a9b54f964a520e47432e3,51.84973734349634,4.644983585085185,Shopping Mall
158,Alblasserdam,De Heeren Van Ambacht,4d8af4bd26a36ea8463cffad,51.85015663558337,4.627540961501133,Restaurant
159,Alblasserdam,VV ASWH Hendrik-Ido-Ambacht,4eb4e573469073bbc5ea9dae,51.84348605453107,4.631788912994978,Soccer Field
160,Alblasserdam,Eeterij & Tapperij 't Ambacht,520e630511d259ef6d18c0c1,51.849184301422795,4.635779033017898,Diner
161,Alblasserdam,De Wachter,4d0d140ebdbfa35d53896772,51.859331,4.6599,French Restaurant
162,Alblasserdam,IJssalon Sophia,516c3942e4b0fa92eb4a1714,51.83512680679069,4.647267629649842,Ice Cream Shop
163,Alblasserdam,Kruidvat,4dc258f8e4cda23545518512,51.86223682188078,4.657383088838414,Drugstore
164,Alblasserdam,Paviljoen Struis,5943c66f89e49070edfcbdf6,51.886491,4.61919,Dutch Restaurant
165,Alblasserdam,Sophiapark,535a2f7211d2edc29a2af5ba,51.83363032175739,4.647173881530762,Park
166,Alblasserdam,Wild Bean Cafe,57623f87498e44833b5c9f27,51.85600952,4.62865087,Café
167,Alblasserdam,Karimata,4d7ba2d179c4b1f75282ebf2,51.89194612732601,4.6305292133480815,Harbor / Marina
168,Alblasserdam,Bon Bon party service,4c41654fff711b8dc4f11105,51.8480354,4.6778232,Food Service
169,Alblasserdam,Multishop,4e7c916f2c5bbb192e6b1a25,51.838461,4.63606,Shop & Service
170,Alblasserdam,"kinderboerderij ""De Dierenhof""",4b6d5dbcf964a5200e732ce3,51.85886045963609,4.605220183451491,Farm
171,Alblasserdam,Coop Lekkerkerk,4e4a24a9a80997a2dbee85a9,51.89608819,4.68266533,Supermarket
172,Alblasserdam,Nieuw Lekkerland,4e646a85e4cdf1e2c02645de,51.88789044326367,4.692114692517802,Outdoors & Recreation
173,Alblasserdam,C1000,4d5ab4d5296d5481767266b1,51.894129402778326,4.629031335540259,Supermarket
174,Alblasserdam,Kruising Lek - Nieuwe Maas - Noord,4fd84d04e4b05a37702bbc1a,51.888967989165906,4.620609283447266,River
175,Alblasserdam,SPAR,4bffdb96369476b0cb658e1f,51.862861,4.602854,Supermarket
176,Albrandswaard,Albert Heijn XL,4cb492facbab236a2857bf73,51.86471271073678,4.355387267086729,Supermarket
177,Albrandswaard,Diggels Eetcafé,4d1c928c763fb1f793d08b66,51.82523010783323,4.411323511225149,Gastropub
178,Albrandswaard,Bos Valckenstein,4db3c3f6fa8c350240d6aa25,51.864206534347275,4.395574326025919,Park
179,Albrandswaard,KEES eten & drinken,4da57581cda1c55f755622b7,51.86005064098168,4.396072924894658,Restaurant
180,Albrandswaard,Cafetaria Familieland,4c0f74d67189c928d40adab6,51.85668396188756,4.420166670901649,Café
181,Albrandswaard,Heeren van Beijerland B.V.,4c2b8a7e57a9c9b63213f667,51.82676,4.4116099,Restaurant
182,Albrandswaard,Rhoonse Grienden,4cb1cdc9ef1b370411144600,51.84252756544103,4.43093457068084,Nature Preserve
183,Albrandswaard,Intratuin,4b16120ff964a520c5b623e3,51.86410141426185,4.429314573718169,Garden Center
184,Albrandswaard,De Gouden Arend,4bdeaa826198c9b6076e14ff,51.84982447527623,4.420797236110027,Café
185,Albrandswaard,Het Wapen van Rhoon,4b520512f964a520bf6127e3,51.86025268763948,4.41756513703731,Hotel
186,Albrandswaard,Bram Ladage,4c0973f1340720a1b8d18493,51.866095832586524,4.353774728701292,Fast Food Restaurant
187,Albrandswaard,Grand Café De Oude Tol,4c4007996c1a95214a23b96a,51.83006122707901,4.396391536705342,Steakhouse
188,Albrandswaard,PLUS Hofland,4b45d5cff964a520fb1026e3,51.85696993962453,4.39092547238738,Supermarket
189,Albrandswaard,Abel Grand Café Restaurant,4b266d08f964a520547b24e3,51.8458778,4.4173308,Restaurant
190,Albrandswaard,Pitch en Putt Rhoon,4c043746310fc9b6c001c761,51.84434473455578,4.421532192674814,Golf Course
191,Albrandswaard,Werelds aan de Kade,4bbf2a4c006dc9b6da19fc3f,51.82838376634747,4.411969348936456,Restaurant
192,Albrandswaard,Zorgboerderij de Buytenhof,4c0a2d016071a593b81bdf32,51.856602074782906,4.4498458551205085,Restaurant
193,Albrandswaard,Winkelcentrum Maaswijk,4e0b7efa63651cdae72cd8aa,51.83384165427794,4.362087249755859,Shopping Mall
194,Albrandswaard,Zwembad Albrandswaard,4b7005caf964a520cf032de3,51.84522396847965,4.421318423787144,Pool
195,Albrandswaard,Afhaalcentrum & Snackbar Sun Sien,4cd43e60607a6dcbf3731454,51.87109579282685,4.353186572635627,Caribbean Restaurant
196,Albrandswaard,Soffree on fifty-four,564f2af2498e1435c90286cd,51.826227,4.413986,Restaurant
197,Albrandswaard,Divina Cucina,4f637912e4b0e78cffa5e7eb,51.8265625263925,4.409477623028135,Italian Restaurant
198,Albrandswaard,Hoogvliet,4c4199f63735be9a89a018a4,51.86953828191257,4.351371651461302,Supermarket
199,Albrandswaard,La Vista,559fea2b498e3436e4bbee6d,51.847001,4.350354,Pizza Place
200,Albrandswaard,Tasman.,57b0507a498e4b8b76ca3023,51.845984,4.417209,Creperie
201,Albrandswaard,Jachthaven Rhoon,4c63b9e0eb82d13a8f9008d6,51.84389230086027,4.4230157241917,Harbor / Marina
202,Albrandswaard,WCR,4d3a7df481258cfad80ea75f,51.852107198006145,4.437393818731336,Soccer Field
203,Albrandswaard,Dorpslokaal De Dijk,4e96db746da11364e6deabd8,51.82439789168762,4.4236467153585695,Café
204,Albrandswaard,Jumbo,4b76b1e2f964a520ee582ee3,51.85087492208112,4.368279430213943,Supermarket
205,Albrandswaard,Gameren Sport,4d502aa79ffc236a416916a7,51.84544685225032,4.421141940401874,Gym / Fitness Center
206,Albrandswaard,Tabac & Gifts Poortugaal,4dc2959552b1c1fb37eb7253,51.857065950438454,4.390396675152672,Smoke Shop
