,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,FlagURL,Latitude,Longitude
64,Cromstrijen,Restaurant,Golf Course,French Restaurant,Playground,Canal Lock,2,Zuid-Holland,12834,54.37,235.0,14300,https://nl.wikipedia.org/wiki/Cromstrijen,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Cromstrijen.svg,51.746666666667,4.4461111111111
65,Cuijk (gemeente),Restaurant,Café,Bar,Ice Cream Shop,Supermarket,2,Noord-Brabant,24876,52.5,469.3,12500,https://nl.wikipedia.org/wiki/Cuijk_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Cuijk.svg,51.726944444444,5.8794444444444
66,Culemborg,Restaurant,Scenic Lookout,Fast Food Restaurant,Ice Cream Shop,Café,2,Gelderland,28323,29.58,930.4,13400,https://nl.wikipedia.org/wiki/Culemborg,https://nl.wikipedia.org/wiki/Bestand:Culemborg_flag_correct.svg,51.95,5.2333333333333
67,Dalfsen (gemeente),Restaurant,Café,Campground,Gym,Park,2,Overijssel,28329,165.18,168.1,12700,https://nl.wikipedia.org/wiki/Dalfsen_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Flag_of_Dalfsen.svg,52.506388888889,6.2605555555556
68,Dantumadeel,Restaurant,Hotel,Bar,Café,Fish & Chips Shop,3,Friesland,18941,85.78,221.7,11100,https://nl.wikipedia.org/wiki/Dantumadeel,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Dantumadeel.svg,53.28,5.9830555555556
69,De Bilt (gemeente),Restaurant,Park,French Restaurant,Hotel,Garden,4,Utrecht,42775,66.33,636.5,16700,https://nl.wikipedia.org/wiki/De_Bilt_(gemeente),https://nl.wikipedia.org/wiki/Bestand:Vlag_de_Bilt.svg,52.111944444444,5.1825
70,De Friese Meren,Restaurant,Harbor / Marina,Diner,Supermarket,Café,2,Friesland,51601,356.43,143.8,12334,https://nl.wikipedia.org/wiki/De_Friese_Meren,https://nl.wikipedia.org/wiki/Bestand:De_Friese_Meren_vlag.svg,52.925,5.6833333333333
71,De Marne,Supermarket,Café,Restaurant,Plaza,Diner,3,Groningen,10013,167.45,60.4,11900,https://nl.wikipedia.org/wiki/De_Marne,https://nl.wikipedia.org/wiki/Bestand:De_Marne_vlag.svg,53.35,6.3666666666667
72,De Ronde Venen,Restaurant,Café,Diner,Supermarket,Bar,2,Utrecht,43965,84.4,504.4,15000,https://nl.wikipedia.org/wiki/De_Ronde_Venen,https://nl.wikipedia.org/wiki/Bestand:Flag_of_Ronde_Venen_2017.svg,52.211666666667,4.8913888888889
73,De Wolden,Restaurant,Gastropub,French Restaurant,Café,Movie Theater,3,Drenthe,24031,224.78,105.2,12700,https://nl.wikipedia.org/wiki/De_Wolden,https://nl.wikipedia.org/wiki/Bestand:Flag_of_De_Wolden.svg,52.666666666667,6.4166666666667
