,City,Common Venue 1,Common Venue 2,Common Venue 3,Common Venue 4,Common Venue 5,Cluster label,Province,Population,Area,Density,Income,URL,Latitude,Longitude
106,Etten-Leur,Supermarket,Restaurant,Café,Flower Shop,Nightclub,2,Noord-Brabant,43498,55.46,767.2,13100,https://nl.wikipedia.org/wiki/Etten-Leur,51.570555555556,4.6355555555556
107,Ferwerderadeel,Supermarket,Pool,Harbor / Marina,Soccer Field,Dance Studio,0,Friesland,8677,97.65,89.4,11400,https://nl.wikipedia.org/wiki/Ferwerderadeel,53.329444444444,5.8408333333333
108,Geertruidenberg,Restaurant,Supermarket,Beach,Food,Café,5,Noord-Brabant,21504,27.02,799.7,13300,https://nl.wikipedia.org/wiki/Geertruidenberg_(gemeente),51.700833333333,4.8602777777778
109,Geldermalsen,Restaurant,Campground,Sandwich Place,Bar,Art Gallery,3,Gelderland,26964,99.7,263.5,13800,https://nl.wikipedia.org/wiki/Geldermalsen_(gemeente),51.883333333333,5.2833333333333
110,Geldrop-Mierlo,Snack Place,Restaurant,Supermarket,Diner,Ice Cream Shop,1,Noord-Brabant,39458,31.06,1251.3,13700,https://nl.wikipedia.org/wiki/Geldrop-Mierlo,51.433611111111,5.5880555555556
111,Gemert-Bakel,Gym / Fitness Center,French Restaurant,Supermarket,Shopping Mall,Bar,1,Noord-Brabant,30429,122.75,240.9,12500,https://nl.wikipedia.org/wiki/Gemert-Bakel,51.531111111111,5.7194444444444
112,Gennep,Café,Soccer Field,Chinese Restaurant,Supermarket,Lounge,1,Limburg,17007,48.02,358.3,13000,https://nl.wikipedia.org/wiki/Gennep_(gemeente),51.694166666667,5.9733333333333
113,Giessenlanden,Restaurant,Soccer Field,Supermarket,Snack Place,Cheese Shop,1,Zuid-Holland,14564,63.57,227.9,14100,https://nl.wikipedia.org/wiki/Giessenlanden,51.881666666667,4.8955555555556
114,Gilze en Rijen,Golf Course,Snack Place,Diner,Sporting Goods Shop,Tennis Court,0,Noord-Brabant,26399,65.54,398.1,12800,https://nl.wikipedia.org/wiki/Gilze_en_Rijen,51.561388888889,4.9333333333333
115,Goeree-Overflakkee,Lake,Harbor / Marina,Restaurant,Coffee Shop,Market,4,Zuid-Holland,49313,262.03,184.1,13000,https://nl.wikipedia.org/wiki/Goeree-Overflakkee,51.749138888889,4.1294861111111
116,Goes,Restaurant,Harbor / Marina,Bar,Campground,Beach,3,Zeeland,37632,92.84,400.6,13400,https://nl.wikipedia.org/wiki/Goes_(gemeente),51.514722222222,3.8258333333333
117,Goirle,Zoo Exhibit,Restaurant,Supermarket,Skating Rink,Korean Restaurant,4,Noord-Brabant,23562,42.04,546.8,14000,https://nl.wikipedia.org/wiki/Goirle_(gemeente),51.52028,5.067101
118,Gooise Meren,Restaurant,French Restaurant,Coffee Shop,Park,Café,4,Noord-Holland,56838,73.5,1421.0,,https://nl.wikipedia.org/wiki/Gooise_Meren,52.266667,5.166667
119,Gorinchem,Restaurant,Ice Cream Shop,Diner,Supermarket,French Restaurant,4,Zuid-Holland,36439,18.96,1856.6,12800,https://nl.wikipedia.org/wiki/Gorinchem,51.830555555556,4.9741666666667
120,Gouda,Supermarket,Café,Shopping Mall,Coffee Shop,Fast Food Restaurant,4,Zuid-Holland,72825,16.92,4197.3,13400,https://nl.wikipedia.org/wiki/Gouda_(hoofdbetekenis),52.018055555556,4.7055555555556
121,Grave,Pool,Chinese Restaurant,Soccer Field,Steakhouse,Supermarket,5,Noord-Brabant,12416,27.21,470.9,12700,https://nl.wikipedia.org/wiki/Grave_(gemeente),51.759166666667,5.7383333333333
122,Groningen,Restaurant,Park,Café,Coffee Shop,Furniture / Home Store,3,Groningen,202332,79.59,2515.5,12300,https://nl.wikipedia.org/wiki/Groningen_(gemeente),53.216666666667,6.5666666666667
123,Grootegast,Trail,Tea Room,Café,Construction & Landscaping,Fast Food Restaurant,2,Groningen,12148,86.88,139.7,11400,https://nl.wikipedia.org/wiki/Grootegast_(gemeente),53.209116666667,6.2673555555556
124,Gulpen-Wittem,Restaurant,Golf Course,Café,Hotel,Campground,1,Limburg,14247,73.18,199.6,13000,https://nl.wikipedia.org/wiki/Gulpen-Wittem,50.816111111111,5.8983333333333
125,Haaksbergen,Outdoors & Recreation,Construction & Landscaping,Athletics & Sports,Supermarket,Bakery,0,Overijssel,24282,104.92,231.7,12600,https://nl.wikipedia.org/wiki/Haaksbergen,52.154722222222,6.7419444444444
126,Haaren,Café,Supermarket,Ice Cream Shop,Park,Lounge,1,Noord-Brabant,14157,57.67,234.7,13900,https://nl.wikipedia.org/wiki/Haaren_(gemeente),51.601666666667,5.2227777777778
127,Haarlem,Café,Restaurant,Coffee Shop,Sandwich Place,French Restaurant,4,Noord-Holland,160287,29.32,5356.7,14200,https://nl.wikipedia.org/wiki/Haarlem,52.380277777778,4.6405555555556
128,Haarlemmerliede en Spaarnwoude,Park,Golf Course,Lake,Dog Run,Harbor / Marina,4,Noord-Holland,5885,19.25,288.0,14700,https://nl.wikipedia.org/wiki/Haarlemmerliede_en_Spaarnwoude,52.397222222222,4.7119444444444
129,Haarlemmermeer,Restaurant,Supermarket,Bakery,Shopping Mall,French Restaurant,0,Noord-Holland,147532,179.76,801.6,14400,https://nl.wikipedia.org/wiki/Haarlemmermeer,52.300833333333,4.6652777777778
130,Halderberge,Restaurant,Snack Place,Paper / Office Supplies Store,Tennis Court,Supermarket,5,Noord-Brabant,29894,74.64,395.6,13500,https://nl.wikipedia.org/wiki/Halderberge,51.587222222222,4.5166666666667
131,Hardenberg,Restaurant,Campground,Soccer Field,Brewery,Theater,2,Overijssel,60544,312.87,190.3,11800,https://nl.wikipedia.org/wiki/Hardenberg_(gemeente),52.566666666667,6.6
132,Harderwijk (Gelderland),Harbor / Marina,Plaza,Hotel,French Restaurant,Restaurant,2,Gelderland,46907,38.46,1190.5,12700,https://nl.wikipedia.org/wiki/Harderwijk_(Gelderland),52.35,5.6166666666667
133,Hardinxveld-Giessendam,Supermarket,Beach,Department Store,Furniture / Home Store,Harbor / Marina,0,Zuid-Holland,17912,16.91,1051.7,12400,https://nl.wikipedia.org/wiki/Hardinxveld-Giessendam,51.828138888889,4.852525
134,Haren (Groningen),Restaurant,Flower Shop,Supermarket,Lake,Gym,1,Groningen,19895,45.69,418.8,16300,https://nl.wikipedia.org/wiki/Haren_(Groningen),53.166666666667,6.6
135,Harlingen,Restaurant,Café,Snack Place,Soccer Field,Garden Center,5,Friesland,15766,25.18,627.1,12000,https://nl.wikipedia.org/wiki/Harlingen_(gemeente),53.173530555556,5.4337694444444
136,Hattem,Restaurant,Museum,Park,Eastern European Restaurant,Harbor / Marina,1,Gelderland,12112,23.12,510.1,13700,https://nl.wikipedia.org/wiki/Hattem,52.483333333333,6.0666666666667
137,Heemskerk,Supermarket,Gym Pool,Diner,Campground,Bookstore,1,Noord-Holland,39145,27.48,1427.3,13700,https://nl.wikipedia.org/wiki/Heemskerk_(hoofdbetekenis),52.510833333333,4.6727777777778
138,Heemstede (Noord-Holland),Soccer Field,Shopping Mall,Furniture / Home Store,French Restaurant,Playground,0,Noord-Holland,27134,9.2,2879.5,17800,https://nl.wikipedia.org/wiki/Heemstede_(Noord-Holland),52.352777777778,4.62
139,Heerde,Restaurant,Soccer Field,Supermarket,Skating Rink,Farm,5,Gelderland,18618,78.73,234.9,13100,https://nl.wikipedia.org/wiki/Heerde_(gemeente),52.4,6.05
140,Heerenveen,Soccer Field,Restaurant,Diner,Scenic Lookout,Athletics & Sports,5,Friesland,50201,135.18,371.1,12900,https://nl.wikipedia.org/wiki/Heerenveen_(gemeente),52.965833333333,6.0502777777778
141,Heerhugowaard,Restaurant,Shopping Mall,Museum,Auto Workshop,Gym / Fitness Center,2,Noord-Holland,56134,39.25,1368.0,13100,https://nl.wikipedia.org/wiki/Heerhugowaard,52.668333333333,4.8405555555556
142,Heerlen,Restaurant,Furniture / Home Store,Fast Food Restaurant,Sandwich Place,Supermarket,4,Limburg,86766,45.04,1941.1,12300,https://nl.wikipedia.org/wiki/Heerlen,50.886388888889,5.9775
143,Heeze-Leende,Hotel,Bar,Snack Place,Supermarket,French Restaurant,2,Noord-Brabant,15911,103.93,149.5,14600,https://nl.wikipedia.org/wiki/Heeze-Leende,51.367222222222,5.5575
144,Heiloo,Gym,Shopping Mall,Bookstore,Café,Seafood Restaurant,1,Noord-Holland,23211,18.79,1201.6,15500,https://nl.wikipedia.org/wiki/Heiloo,52.601111111111,4.7019444444444
145,Hellendoorn,Supermarket,National Park,Shopping Mall,Gym / Fitness Center,Fast Food Restaurant,0,Overijssel,35792,138.15,257.6,12300,https://nl.wikipedia.org/wiki/Hellendoorn_(gemeente),52.388486111111,6.4496611111111
146,Hellevoetsluis,Shopping Mall,Supermarket,Park,Bar,Lighthouse,0,Zuid-Holland,39931,31.57,1228.7,13500,https://nl.wikipedia.org/wiki/Hellevoetsluis,51.8325,4.1383333333333
147,Helmond,Restaurant,French Restaurant,Supermarket,Gym,Pizza Place,1,Noord-Brabant,91024,53.2,1687.9,12300,https://nl.wikipedia.org/wiki/Helmond,51.477777777778,5.6527777777778
148,Hendrik-Ido-Ambacht,Shopping Mall,Supermarket,Park,Diner,Café,1,Zuid-Holland,30801,10.73,2721.2,13400,https://nl.wikipedia.org/wiki/Hendrik-Ido-Ambacht,51.845277777778,4.64
149,Hengelo (Overijssel),Shopping Mall,Bar,Restaurant,Fast Food Restaurant,Supermarket,1,Overijssel,80626,61.06,1327.7,12600,https://nl.wikipedia.org/wiki/Hengelo_(Overijssel),52.265555555556,6.7930555555556
150,Heumen,Coffee Shop,Supermarket,Snack Place,Canal,Garden Center,5,Gelderland,16440,39.89,410.2,14000,https://nl.wikipedia.org/wiki/Heumen_(gemeente),51.765555555556,5.8433333333333
151,Heusden,Restaurant,Supermarket,Bar,Bistro,BBQ Joint,3,Noord-Brabant,43756,78.88,546.5,13200,https://nl.wikipedia.org/wiki/Heusden_(gemeente),51.704166666667,5.1686111111111
152,Hillegom,Soccer Field,Park,French Restaurant,Burger Joint,Stables,0,Zuid-Holland,21929,12.87,1637.3,14100,https://nl.wikipedia.org/wiki/Hillegom,52.291666666667,4.5794444444444
153,Hilvarenbeek,Zoo Exhibit,Restaurant,Playground,Campground,Bar,3,Noord-Brabant,15350,94.92,159.0,13700,https://nl.wikipedia.org/wiki/Hilvarenbeek_(gemeente),51.486111111111,5.1366666666667
154,Hilversum,Coffee Shop,Ice Cream Shop,Golf Course,Mediterranean Restaurant,Gym / Fitness Center,4,Noord-Holland,89660,45.59,1910.8,15100,https://nl.wikipedia.org/wiki/Hilversum,52.223611111111,5.1780555555556
155,Hof van Twente,Golf Course,Pool,Castle,Campground,Gym,5,Overijssel,34880,213.18,163.8,13100,https://nl.wikipedia.org/wiki/Hof_van_Twente,52.236313888889,6.5902527777778
156,Hollands Kroon,Restaurant,Café,Beach,Supermarket,Diner,5,Noord-Holland,47615,357.6,132.9,12759,https://nl.wikipedia.org/wiki/Hollands_Kroon_(gemeente),52.878255555556,4.8113888888889
157,Hoogeveen,Restaurant,Supermarket,Snack Place,Garden,Bar,3,Drenthe,55647,127.77,430.0,11900,https://nl.wikipedia.org/wiki/Hoogeveen_(gemeente),52.716666666667,6.4666666666667
